date,mood,tweets
1459000005.03543,-0.10544930114358321,787
1459000605.400056,-0.083745294117647057,850
1459001205.805747,-0.054995891891891892,925
1459001806.788102,-0.049100000000000005,942
1459002407.048751,-0.0009065573770491817,915
1459003007.365935,-0.010748264277715565,893
1459003608.843897,-0.045438984881209496,926
1459004211.75029,-0.026361286549707597,855
1459004813.730733,-0.089574438502673812,935
1459005414.354172,-0.086779911699779236,906
1459006014.917132,-0.084398074866310152,935
1459006615.69539,-0.080489711538461517,1040
1459007216.085239,-0.057630653266331655,995
1459007816.114396,-0.063967555147058819,1088
1459008417.723493,-0.0825020774315392,1059
1459009017.739638,-0.066684194214876022,968
1459009617.839584,-0.0084531746031745927,1134
1459010218.738517,-0.032998679867986783,1212
1459010819.160241,-0.051931288343558278,1141
1459011419.332989,-0.038381818181818177,924
1459012019.510079,-0.045405894519131323,967
1459012620.007087,-0.029324824120603013,995
1459013221.44701,-0.011566224489795917,980
1459013822.193535,-0.041679089026915112,966
1459014422.478618,-0.0044705948372615054,891
1459015023.787347,-0.0064502890173410406,865
1459015624.721799,-0.05239051724137931,1044
1459016224.991493,-0.041757971014492752,1035
1459016825.581601,-0.020070973782771541,1068
1459017427.332534,-0.055836712328767121,1095
1459018027.826485,-0.059333023255813966,860
1459018629.408154,-0.039441599073001161,863
1459019229.466484,-0.042444747081712066,1028
1459019829.483502,-0.11783217391304349,1380
1459020430.187287,-0.12484652631578946,1425
1459021031.045064,-0.10547476635514019,1177
1459021632.052365,-0.092336338289962835,1076
1459022232.402796,-0.10340988023952094,1002
1459022832.952245,-0.12401396534148827,981
1459023433.586787,-0.084825252525252526,891
1459024034.164205,-0.09473137032842581,883
1459024634.607207,-0.088597106481481475,864
1459025234.754909,-0.078887728194726184,986
1459025835.261067,-0.13422423603793468,949
1459026435.648195,-0.098795540138751234,1009
1459027036.051736,-0.111601244813278,964
1459027636.098695,-0.085369029443838604,917
1459028389.263187,,0
1459029622.640943,-0.0513934375,960
1459030222.816627,-0.092930776892430289,1004
1459030824.285385,-0.064752370916754468,949
1459031426.335363,-0.059775444444444444,900
1459046190.5670333,,0
1459061435.492316,-0.089594817073170727,328
1459062036.016187,-0.099121408450704246,355
1459063233.440218,-0.09960837209302327,215
1459063837.995129,-0.099987381703470019,317
1459064446.894209,-0.052607816711590295,371
1459065049.474494,-0.07577299270072993,274
1459065650.149308,-0.14040222222222223,270
1459066251.449993,-0.083017307692307696,208
1459066855.042822,-0.068169565217391301,207
1459067456.928992,-0.13188924731182794,186
1459068058.837633,-0.12402893081761004,159
1459068662.008429,-0.14151336633663367,202
1459069263.396056,-0.17826593886462883,229
1459070017.8299,-0.1142048275862069,145
1459070619.704031,-0.046571889400921655,217
1459071221.614402,-0.052498139534883727,215
1459071822.865672,-0.11440366492146598,191
1459072424.661865,-0.085209424083769622,191
1459073027.597411,-0.11418638497652582,213
1459089032.212703,,0
1459105619.020515,-0.027547082494969816,497
1459106219.314068,-0.050525353925353927,777
1459107399.878065,-0.08958319327731093,476
1459108000.895704,-0.016246836982968374,822
1459108602.626378,-0.13601761158021713,829
1459109203.918025,-0.0073242424242424328,990
1459109925.112618,-0.042008985024958402,601
1459110525.275262,-0.053422285714285714,700
1459111126.753759,-0.046790806223479489,707
1459111726.832954,-0.10369942129629628,864
1459112327.042439,-0.085115083135391928,842
1459112927.440214,-0.0676936193619362,909
1459113527.643604,-0.09229432048681542,986
1459114128.252419,-0.020887731958762885,970
1459114728.620197,0.004218685831622178,974
1459115328.726651,-0.0059633709981167611,1062
1459115928.73578,-0.0057466894977168947,876
1459116529.680343,-0.047924684270952929,871
1459117131.015177,-0.029534845132743359,904
1459117731.059865,-0.044922968197879859,849
1459118331.289705,-0.032555841121495323,856
1459118931.786571,-0.091151184834123211,844
1459119531.925635,-0.10597580246913581,810
1459120133.12672,-0.10208832487309645,788
1459120733.382157,-0.088942620865139946,786
1459121333.673788,-0.020889807474518685,883
1459121934.511438,-0.036843008225616924,851
1459122534.75266,-0.063318954918032785,976
1459123135.068676,-0.03451650165016501,909
1459123738.18921,-0.025220862470862467,858
1459124338.380648,-0.060278871391076121,762
1459124938.466314,-0.047762993039443154,862
1459125548.783791,-0.039495709177592368,839
1459136410.3259134,,0
1459147752.445192,-0.098301858736059497,269
1459148353.565773,-0.12722201492537313,268
1459148955.532794,-0.14453649289099527,211
1459149558.508709,-0.02920989010989011,182
1459150160.592399,-0.055322413793103452,174
1459150762.191164,-0.10760662650602409,166
1459151368.293,-0.071768085106382967,141
1459151980.637973,-0.09692415730337077,178
1459152582.491749,-0.025894482758620694,145
1459153190.090885,-0.1186912,125
1459167577.4754775,,0
1459182444.913575,-0.15339178255372946,791
1459184146.9932885,,0
1459186331.018138,-0.080130649350649341,770
1459186931.511711,-0.097104171632896308,839
1459187532.007774,-0.057361320754716984,848
1459188132.115258,-0.054404648074369191,753
1459188732.620056,-0.06025401459854015,685
1459189335.248531,0.00093989569752281539,767
1459189935.406149,-0.061880417754569199,766
1459190535.654002,-0.068535036496350357,274
1459191138.103178,-0.018665234375000003,768
1459191739.451174,-0.062121894409937893,644
1459192339.458053,-0.01682827380952381,672
1459192943.538223,-0.055233231707317067,656
1459193544.835203,-0.015344661654135335,665
1459194145.733641,-0.056909724238026121,689
1459194747.563629,-0.0021456521739130425,644
1459195348.071318,0.014449836065573769,610
1459195948.414033,0.0071669505962521276,587
1459196549.776182,-0.038209223300970881,618
1459197149.832455,0.036247446236559136,744
1459197749.959209,-0.023396568627450983,612
1459198351.393892,-0.025113831478537362,629
1459198952.353492,-0.049349585406301827,603
1459199552.797939,-0.021465748709122205,581
1459200152.907428,-0.022605331179321484,619
1459200754.340334,-0.0019796491228070176,570
1459201355.993983,-0.046690183028286196,601
1459201956.093651,-0.040426119402985079,670
1459202558.143145,-0.024602435312024346,657
1459203159.211911,-0.01929203539823009,678
1459203759.435751,0.26300166944908177,1198
1459204360.353771,0.17069301164725456,1202
1459204960.375491,0.12134847801578352,887
1459205561.85778,0.092241666666666652,924
1459206163.445463,0.08368206820682067,909
1459206763.603705,-0.04597404878048781,1025
1459207363.754567,-0.13565112359550563,1246
1459207963.984946,-0.07280017559262511,1139
1459208564.344099,-0.033394701986754975,1057
1459209164.374639,-0.066113571428571438,980
1459209764.774924,-0.069141528925619838,968
1459210365.633329,-0.036659703075291629,943
1459210966.867064,-0.032390676229508204,976
1459211567.585452,-0.028689989989989992,999
1459212167.588555,-0.047322633297062031,919
1459212768.11055,-0.062725054466230945,918
1459213368.214471,-0.10933724093264248,1544
1459213968.621782,-0.088174207811348562,1357
1459214568.870523,-0.055767452471482896,1315
1459215168.921279,-0.019154093567251465,1368
1459215769.459579,-0.087995723014256622,1473
1459216369.735659,-0.08385152354570638,1444
1459216969.901379,-0.047747085541256631,1321
1459217569.972279,-0.065581597717546361,1402
1459218170.034001,-0.080425106382978728,1410
1459218770.179636,-0.063882344428364699,1382
1459219370.552724,-0.062337829209896251,1253
1459219970.765375,-0.015434706331045014,1311
1459220571.206582,-0.032567993501218521,1231
1459221173.255551,-0.034112523191094611,1078
1459221773.643569,-0.060370228215767631,964
1459222374.120067,-0.058156279069767447,1075
1459222974.177647,-0.034861913523459069,1087
1459223574.852281,-0.049002097902097905,1001
1459224176.741704,-0.065147251585623692,946
1459224776.867557,-0.072190428211586916,794
1459225378.212167,-0.066204787961696307,731
1459225978.983699,-0.047888703465982028,779
1459226579.579681,-0.033089303904923602,589
1459227179.880061,-0.044199999999999996,676
1459227780.385276,-0.065992547660311957,577
1459228380.925518,-0.082424156305506202,563
1459228981.934748,-0.033605870020964365,477
1459229590.25315,-0.0096459839357429713,498
1459230191.138224,-0.050809643605870029,477
1459230793.301484,0.0080968036529680317,438
1459231393.387582,-0.052402680412371137,485
1459231994.039293,-0.041059498207885306,279
1459232594.293566,0.027554151624548742,277
1459233196.901889,-0.043020731707317079,164
1459233798.359506,-0.01957385620915033,153
1459234400.147564,-0.036052252252252254,111
1459235007.368608,-0.19215859872611465,157
1459235608.231121,-0.059406930693069314,101
1459236208.82587,-0.040481250000000003,112
1459236810.22114,-0.026086666666666671,135
1459237417.720017,-0.013616000000000003,125
1459238029.148729,-0.029310344827586196,116
1459238630.50452,-0.08929928571428572,140
1459239243.862523,-0.022567307692307689,104
1459241959.470317,,0
1459244518.209241,,0
1459246288.582464,-0.077184684684684673,111
1459248706.934606,-0.029331531531531525,111
1459249313.128303,-0.0036531746031746035,126
1459249913.658036,-0.041081250000000007,192
1459250515.130376,-0.059288819875776402,161
1459252324.100155,-0.16230686274509801,102
1459254094.7549677,,0
1459256857.158499,,0
1459259804.4752321,,0
1459262392.749779,0.26258045112781953,133
1459263028.499224,0.20079100529100524,189
1459263631.023761,0.2140674285714286,175
1459264921.783681,0.17889212598425197,127
1459269701.112808,0.0038881481481481523,135
1459272240.997853,0.050266091370558381,985
1459272842.100034,0.055030152284263965,985
1459273444.359339,0.054909183673469392,882
1459274044.638296,0.038745841584158412,1010
1459274644.928157,0.079480616740088092,908
1459275245.619266,0.041322141372141366,962
1459275846.948166,-0.051682828282828282,891
1459276447.290971,0.028902383222116298,1049
1459277047.529106,0.012208926417370328,829
1459277648.975069,-0.0021194660734149052,899
1459278249.018318,0.0071786724700761678,919
